BLOC_SCAD,3.78 (0.293),2.02 (0.167),0.012 (0.001),1.00 (0.000),0.09 (0.012),0.70 (0.027)
BLOC_MCP,3.02 (0.321),1.58 (0.187),0.009 (0.001),1.00 (0.000),0.06 (0.011),0.79 (0.033)
L1_ADMM,5.62 (0.213),2.87 (0.175),0.019 (0.001),1.00 (0.000),0.15 (0.009),0.59 (0.014)
Lq_BCD_half,4.18 (0.292),2.32 (0.240),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000)
Lq_BCD_zero,4.13 (0.333),2.38 (0.278),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000)
SCAD_BCD,4.19 (0.339),2.37 (0.273),0.011 (0.001),1.00 (0.000),0.01 (0.006),0.97 (0.024)
IRW_ADMM,4.16 (0.308),2.37 (0.268),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000)
Trad_IRW,4.20 (0.291),2.32 (0.211),0.011 (0.001),1.00 (0.000),0.00 (0.001),1.00 (0.004)
soft_thres,6.04 (0.249),3.11 (0.203),0.021 (0.001),1.00 (0.000),0.15 (0.022),0.59 (0.030)
hard_thres,4.16 (0.328),2.38 (0.277),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000)
SCAD_thres,4.77 (0.328),2.78 (0.308),0.015 (0.001),1.00 (0.000),0.10 (0.020),0.69 (0.050)
