BLOC_MCP,5.39 (0.122),2.48 (0.108),0.014 (0.000),1.00 (0.000),0.00 (0.000),1.00 (0.002),1.00 (0.000),7502.52 (8.878)
BLOC_SCAD,3.48 (0.289),1.83 (0.206),0.009 (0.001),1.00 (0.000),0.04 (0.011),0.84 (0.041),1.00 (0.000),7799.78 (102.901)
WeiZhaoMCP,3.25 (0.168),1.79 (0.119),0.007 (0.000),1.00 (0.000),0.00 (0.001),0.98 (0.004),1.00 (0.000),1.62 (0.020)
WeiZhaoMCP_Cov,7.39 (0.145),4.31 (0.222),0.023 (0.001),1.00 (0.000),0.09 (0.009),0.71 (0.026),1.00 (0.000),1.62 (0.024)
L1_ADMM,8.03 (0.184),4.16 (0.160),0.027 (0.001),1.00 (0.000),0.11 (0.021),0.67 (0.028),1.00 (0.000),1.10 (0.035)
Lq_BCD_half,5.47 (0.174),3.25 (0.168),0.014 (0.001),1.00 (0.000),0.00 (0.001),0.99 (0.006),1.00 (0.000),8.26 (0.173)
Lq_BCD_zero,5.35 (0.134),3.04 (0.121),0.014 (0.000),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),7.32 (0.157)
SCAD_BCD,5.46 (0.124),3.12 (0.146),0.014 (0.000),1.00 (0.000),0.02 (0.002),0.92 (0.009),1.00 (0.000),4.97 (0.076)
IRW_ADMM,5.48 (0.124),3.29 (0.169),0.014 (0.000),1.00 (0.000),0.00 (0.000),1.00 (0.002),1.00 (0.000),1.98 (0.037)
Trad_IRW,5.46 (0.157),3.28 (0.182),0.014 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.001),1.00 (0.000),10.13 (0.243)
soft_thres,8.29 (0.194),4.46 (0.191),0.029 (0.001),1.00 (0.000),0.14 (0.017),0.60 (0.021),0.90 (0.100),0.06 (0.003)
hard_thres,6.94 (0.302),4.71 (0.419),0.016 (0.000),0.96 (0.010),0.00 (0.000),0.97 (0.005),0.10 (0.100),0.06 (0.003)
SCAD_thres,7.36 (0.189),4.24 (0.276),0.023 (0.000),1.00 (0.000),0.10 (0.012),0.68 (0.027),0.00 (0.000),0.10 (0.005)
