BLOC_SCAD,4.12 (0.342),2.39 (0.267),0.041 (0.005),0.94 (0.015),0.13 (0.040),0.80 (0.037)
BLOC_MCP,4.02 (0.294),2.29 (0.242),0.040 (0.004),0.94 (0.013),0.12 (0.035),0.80 (0.033)
L1_ADMM,5.67 (0.263),3.42 (0.243),0.066 (0.004),0.90 (0.017),0.28 (0.042),0.58 (0.029)
Lq_BCD_half,5.79 (0.299),3.43 (0.280),0.060 (0.004),0.83 (0.027),0.08 (0.033),0.76 (0.026)
Lq_BCD_zero,5.72 (0.278),3.22 (0.266),0.057 (0.003),0.79 (0.016),0.03 (0.017),0.80 (0.017)
SCAD_BCD,5.70 (0.308),3.21 (0.287),0.058 (0.004),0.86 (0.019),0.10 (0.041),0.77 (0.035)
IRW_ADMM,5.66 (0.278),3.18 (0.266),0.056 (0.003),0.79 (0.017),0.06 (0.026),0.75 (0.028)
Trad_IRW,5.65 (0.249),3.16 (0.233),0.055 (0.002),0.77 (0.018),0.01 (0.005),0.81 (0.011)
soft_thres,5.95 (0.264),3.54 (0.224),0.068 (0.002),0.90 (0.014),0.28 (0.041),0.59 (0.033)
hard_thres,6.43 (0.362),3.58 (0.303),0.063 (0.004),0.70 (0.024),0.02 (0.014),0.75 (0.014)
SCAD_thres,6.17 (0.466),3.79 (0.431),0.067 (0.006),0.87 (0.018),0.21 (0.042),0.64 (0.034)
