Row,Fro,Spec,Abs,TPR,FPR,MCC,PD,Depth,Time
BLOC-SCAD,3.988 (0.1085),3.036 (0.0698),0.145 (0.0035),0.275 (0.011),0.000 (0.000),0.136 (0.004),1.000 (0.000),0.456 (0.0014),18.5 (1.64)
BLOC-MCP,3.785 (0.1089),2.922 (0.0799),0.138 (0.0041),0.295 (0.013),0.000 (0.000),0.143 (0.004),1.000 (0.000),0.457 (0.0014),21.9 (1.53)
fmincon_active_set-SCAD,6.737 (0.0082),4.985 (0.0104),0.239 (0.0006),0.200 (0.133),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.03)
fmincon_active_set-MCP,6.735 (0.0094),4.982 (0.0119),0.239 (0.0006),0.200 (0.133),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.03)
fmincon_interior_point-SCAD,6.749 (0.0000),5.000 (0.0000),0.240 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.00)
fmincon_interior_point-MCP,6.749 (0.0000),5.000 (0.0000),0.240 (0.0000),0.000 (0.000),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.00)
fmincon_SQP-SCAD,6.747 (0.0017),4.998 (0.0021),0.240 (0.0001),0.300 (0.153),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.04)
fmincon_SQP-MCP,6.747 (0.0017),4.998 (0.0021),0.240 (0.0001),0.300 (0.153),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),0.1 (0.04)
Manopt_BB-SCAD,6.749 (0.0000),5.000 (0.0001),0.240 (0.0000),0.100 (0.100),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),4.5 (4.33)
Manopt_BB-MCP,6.748 (0.0013),5.001 (0.0008),0.240 (0.0000),0.100 (0.100),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),5.4 (5.24)
Manopt_CG-SCAD,6.775 (0.0261),5.009 (0.0097),0.242 (0.0020),0.674 (0.147),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),3.3 (1.16)
Manopt_CG-MCP,6.752 (0.0023),5.003 (0.0031),0.242 (0.0014),0.694 (0.151),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),3.8 (1.51)
Manopt_SD-SCAD,6.750 (0.0116),4.970 (0.0288),0.243 (0.0024),0.990 (0.005),0.000 (0.000),0.931 (0.034),1.000 (0.000),0.425 (0.0011),2.7 (0.24)
Manopt_SD-MCP,6.756 (0.0098),4.980 (0.0142),0.241 (0.0006),0.886 (0.099),0.000 (0.000),NaN (NaN),1.000 (0.000),0.425 (0.0011),2.7 (0.41)
Manopt_TR-SCAD,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
Manopt_TR-MCP,NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN),NaN (NaN)
