"TPR","FPR","MCC","RMSE","MAD","Comp_time"
0,0,0,0.139238381336393,0.0336911605053372,714.59
0.01,0,0.0958706236059213,0.137593627250737,0.0333907316804604,1027
0.92,0.576,0.192596315550023,0.067030687019639,0.0413171727859164,1087.31
0,0,0,0.139238381336393,0.0336911605053372,691.11
0,0,0,0.139238381336393,0.0336911605053372,562.83
0.66,0.0133333333333333,0.712526817760426,0.0579164221480708,0.0145880856747072,634.92
0.01,0,0.0958706236059213,0.136550595742286,0.033017345138434,630.84
0,0,0,0.139238381336393,0.0336911605053372,887.4
0.93,0.704888888888889,0.137770578736675,0.07079897754816,0.0497049313078054,1180.03
0,0,0,0.139238381336393,0.0336911605053372,1029.3
